text,relevance,label
afdb sector power afdb subsector electricity north core kv transmission line north core kv transmission line,0,None
support for value chain development expansion of financial services and trade related sanitary and phytosanitary standards for selected value chains in the agribusiness sector agricultural development,0,None
south asia is vulnerable to extreme environmental events such disasters affect the livelihoods of the one billion people living in the region which includes nearly onethird of the world s poor climate variability and change food insecurity population growth and urbanization have intensified these environmental disasters better water and natural resource management is fundamental to development in the region this award project will address this significant development challenge it aims to create a critical mass of interdisciplinary water professionals in south asia including women who are knowledgeable about water issues and can deepen south asian cooperation in the water sectorup to fellowship recipients will undertake master s studies through the south asia consortium for interdisciplinary water resources studies saciwaters and its four south asian partner institutions to address this problem this integrated and interdisciplinary water resources management program is offered in bangladesh india nepal and sri lanka three student cohorts over four years will help develop a new water vision for the region and deepen south asian cooperation on water issuesthe project will create a generation of engineers trained in integrated water resource management gender and social inclusion issues to address food insecurity adaptability to climate change and resilience in the region it will award of the research fellowships to women given their substantial role in securing access to water and their negligible voice in water policy and decisionmaking the remaining fellowships will be awarded to male students from underprivileged backgrounds in addition the project will aim togenerate actionoriented research thesesaddress gender imbalance in the fieldshare knowledge and ideas about south asian water issuessupport free access to the ejournal south asian water studiesencourage young water professionals to publish peerreviewed journal articles south asian water fellowships south asian water fellowships,1,Adaptation
the project intends to solve the lack of electric energy supply in rural areas of nicaragua through replacing it with renewable solar energy to this purpose the project will install an innovative payment system backed by a long term financing directed to rural population with the project this population will be able to purchase high technology solar systems for their households according their payment capabilities purchase water pump and refrigeration systems to be used in association with other families at the same time with the project the bank will provide ecami with working capital to establish local dealers of renewable energies and two new branches to expand the use of the technology sustainable access to renewable energy for rural families sustainable access to renewable energy for rural families,1,Solar-energy
the project is the first in a longterm energy development program aimed at developing forest resources to strengthen the countrys traditional energy resource base specifically the project would provide for i the establishment of a national network of nurseries for production of seedlings for sale to the smallholders who would be encouraged to establish their own woodlots ii the establishment of fuelwood and pole plantations for sale to meet commercial and industrial demandiii the strengthening of the wood energy division within the forestry department of manr by appointing key staff and the carrying out of charcoal trials to investigate possibilities for increased production and marketing iv the establishment and staffing of an energy unit within the forestry department of manr to carry out studies of alternative sources of energy and v a preinvestment phase in preparation for nrdp iii debt relief for previously extended loan fornational rural development program project debt relief for previously extended loan fornational rural development program project,0,None
family planning and reproductive health supports the following illustrative programfunded costs salaries of us fsn and tcn and other staff such as pscs rssas pasas casus working for the us government managing administering and supporting programs and their programfunded benefits such as housing travel transportation education allowances etc institutional contractors that provide such staff rent it services the programfunded share of utilities staff training costs and the cost of developing and administering training programs equipment and supplies icass vehicle fuel and maintenance maintenance contracts janitorial services operational unit web page development and maintenance outreach such as publications and the cost of their preparation including staff costs and technical assistance to ensure usg compliance with regulations family planning and reproductive health administration and oversight fp family planning and reproductive health administration and oversight fp,0,None
the east china jiangsu power transmission project aims at alleviating critical bottlenecks in power transmission infrastructure and increasing electricity trade on a commercial basis in the east china region the project components are as follows a system expansion covers the planning design supply and construction of approximately km of kv kilowatt transmission lines the construction of five new kv substations and the expansion of two existing kv ones and the reinforcement of nanjings urban transmission system b implementation assistance will support local and international consulting services for engineering and construction management c technical assistance for improved interprovincial power exchange policies and procedures will develop an incentive framework and institutional basis for resource pooling and efficient power trading between provincial systems d technical assistance for improved accounting and financial management systems will support cost accounting performance evaluation and financial planning e institutional development and training will provide training programs and support the procurement and installation of required hardware and software for power system analysis east china jiangsu power transmission project east china jiangsu power transmission project,0,None
the kureimat power project will assist the egyptian electricity authority eea in a alleviating power shortages b improving the growing demand for electricity c improving the efficiency and reliability of the eea interconnected system d strengthening the eea finanical position and e improving the technical and managerial skills of eea staff the project consists of a the supply and installation of a dual fuelfired thermal power station at kureimat with a net installed capacity of mw b the supply of material and equipment for about km of a inch diameter natural gas pipeline interconnecting the power station with the gas grid c the supply and installation of about km of kv and about km of kv transmission lines and line loss reduction equipment d the rehabilitation of tanta substation and e technical assistance to help eea with engineering supervision at the power station providing training to eea staff completion of energy data bank and management information system computerization of eea finanical management system and introduction of efficient load management system by procurement of special meters for industrial and bulk consumers kureimat power project kureimat power project,0,None
south asia is the most densely populated region of the world second only to subsaharan africa in poverty indicators it is also one of the worlds most conflictaffected regions women feel the impact of these conflicts deeply this project aims to improve the situation of all south asian women who live under constant threat in militarized zones across the regionsouth asias two largest states are nuclear armed have fought four wars and neighbour one another most south asian countries have large armies which are routinely used to counteract domestic political challenges to the state for people living in these conflictaffected areas the threats to their security include the armies militant groups rival militias secret armies and intelligence outfitsa large number of men in these regions take up arms for one side or the other leading to a further spiral of violence women find themselves caught up in a daily struggle for survival they are left to deal with the consequences of violence committed by state and nonstate armed actors their voices are often unheard or ignored even when they have demonstrated mature leadership and argue for practical solutions this was the case for women in nepal during the armed conflict and for the naga mothers association in nagaland the meira paibis in manipur and the association of parents of disappeared persons in kashmir in each case womens voices did not become part of the mainstream discourse on conflict resolution nor were their practical ideas adopted they continue to suffer fear insecurity and the threat of physical sexual and psychological violence there is no respect for their basic human rightsthis project seeks to mainstream womens voices through a support program that pairs midcareer media professionals with senior researchers the researchers will mentor media fellows to apply a gender lens and explore how complex conflict issues in militarized environments affect communities senior governance security and justice gsj grantees who are leading research projects on similar themes in south asia will serve as resource persons the fellows will carry out individual research projects they will publish their findings in the mainstream media and bring the gendered impact of militarization into the public eye and help to build public opinion and pressure for changepanos south asia will implement the project midcareer investigative journalists will collaborate with and be mentored by senior researchers from wellestablished research institutes bringing womens voices into the mainstream a media research fellowship on militarization and women in south asia bringing womens voices into the mainstream a media research fellowship on militarization and women in south asia,0,None
this project supports the readiness fund of the forest carbon partnership facility fcpf which is a world bankmanaged facility that assists developing countries in their efforts to reduce greenhouse gas emissions from deforestation and forest degradation it also promotes conservation sustainable management of forests and enhancement of forest carbon stocks the fcpf has the dual objective of building capacity in developing countries in tropical and subtropical regions readiness fund and testing a program of performancebased incentive payments in selected pilot countries on a relatively small scale carbon fund cidas contribution to the fcpf readiness fund supports national capacity building to address the problem of deforestation and forest degradation by providing technical and financial assistance to countries in the development of their strategies ce projet appuie le fonds de préparation du fonds de partenariat pour le carbone forestier fcpf une infrastructure dirigée par la banque mondiale qui a pour but de soutenir les efforts déployés par les pays en développement pour réduire les émissions de gaz à effet de serre produites par le déboisement et le dépérissement de la forêt il appuie également la conservation et la gestion durable des forêts ainsi que lamélioration des réserves de carbone forestier le fcpf vise non seulement à bâtir les capacités des pays en développement des régions tropicales et subtropicales fonds de préparation mais aussi à mettre à lessai à une échelle relativement petite un programme dincitatifs financiers axés sur le rendement dans certains pays sélectionnés fonds pour le carbone la contribution de lagence canadienne de développement international au fonds de préparation du fcpf soutient le renforcement des capacités nationales qui ont pour but de remédier au problème du déboisement et du dépérissement de la forêt cette contribution sous forme daide technique et financière soutient les pays en développement dans le cadre de lélaboration de leurs stratégies support to the forest carbon partnership facilitys readiness fund appui au fonds de préparation du fonds de partenariat pour le carbone forestier support to the forest carbon partnership facilitys readiness fund appui au fonds de préparation du fonds de partenariat pour le carbone forestier,1,Other-mitigation-projects
programme conservation and science description to develop a framework for assessing fisheries governance regarding the benefits tuna fisheries bring to coastal communities university of technology sydney university of technology sydney,0,None
financing of wind power station and corresponding transition lines in zafarna such that electric energy is sustainably produced and efficiently supplied wind farm zafarana wind farm zafarana,1,Wind-energy
the project aims to improve the livelihoods of poor rural populations of ramechhap district by providing water sanitation services and lowsmoke cooking technologies world neighbours canada and its local partner tamakoshi sewa samiti provide families with gravityflow water systems to deliver clean water yearround through public tap stands domestic toilets and smokeless domestic cooking stoves to reduce inhouse smoke emission and overall fuel consumption the project applies an approach that makes effective use of local resources and includes community involvement as a key element the project provides materials and technical support for the project components implementation it includes local contribution of materials such as sand and gravel and labour to build effective low cost water sanitation and cooking facilities le projet vise à améliorer les moyens de subsistance des population rurales pauvres du district de ramechhap en fournissant de leau des services sanitaires et des technologies de cuisson à faible génération de fumée world neighbours canada et son partenaire local tamakoshi sewa samiti fournissent aux familles des dispositifs dalimentation en eau par gravité pour assurer lapprovisionnement deau propre à lannée longue dans des stations publiques de robinets pour les toilettes domestiques ainsi que des fourneaux de cuisson domestique sans fumée afin de réduire les émissions de fumée dans les maisons et réduire la consommation de combustible le projet favorise lutilisation efficace des ressources locales et mise sur la participation de la collectivité le projet fournit le matériel et le soutien technique pour la mise en uvre du projet ceci inclut la contribution locale de matériaux comme le sable et la gravelle ainsi que la mainduvre pour construire des installations efficaces et abordables dapprovisionnement en eau de services sanitaires et de cuisson basic sanitation water sanitation and smokeless stoves in ramechhap eau assainissement et poêles sans fumée au ramechhap,0,None
this feasibility study grant is funding a detailed implementation plan for a megawatt mw wind power project in vietnam the study is assisting the phu cuong group corporation pcg a private sector company in vietnam in its efforts to build and develop multiple nearoffshore wind power projects along the countrys southern coastline the first of these projects will be the mw phu cuong wind farm which will provide electricity to local customers in soc trang province if implemented the project would support vietnams energy and power sector in prioritizing the increase of renewable energy production feasibility study phu cuong wind farm project feasibility study through dnv kema renewables inc feasibility study phu cuong wind farm project feasibility study through dnv kema renewables inc,1,Wind-energy
the project is the first fiveyear timeslice of a longterm national program to provide the necessary support to village communities to enable them to establish implement and monitor village management plans covering the natural resources in their communities the main components of the project are a villagelevel investments to stop degradation of soil water and natural vegetation and to establish infrastructure and productive facilities with immediate direct impact on the communities quality life in about villages within three of malis eight administrative regions b modification of the boundaries of the baoule national park and implementation of longterm management plans c support to the government services at regional and local levels to assist villagers to set up implement and monitor community natural resource management plans d support to the newly created planning monitoring and evaluation department within the ministry of agriculture livestock and environment in establishing an environmental information system e implementation of a training and public awareness program and f technical assistance consultant services applied research and technical studies natural resource management project natural resource management project,1,Sustainable-land-use
the second power development project power ii will cover belize electricity limiteds bel mediumterm power and transmission requirements the project will comprise a the construction of a kv interconnection transmission system running from the border with mexico to belize city b the integration of san pedro the major tourist area of the country to the system c the integration of dangriga the principal area of the citrus industry to the system d dispatch center supervisory control data acquisition and communications for system operations e an environmental mitigation program for the existing diesel plants and f consulting services to assist bel in engineering and project management and technical assistance and training power sector development project power sector development project,0,None
strengthening capacities for the implementation of the monitoring of emission of pollution from the stationary sources center for ecotoxiological research of montenegro center for ecotoxiological research of montenegro,1,Other-environment-protection-projects
collaborative project integrated water resources management in isfahan iran zayandeh rud basin subproject modelling integrated water resource management integrated water resource management,0,None
the irrigated areas agricultural services project objectives are to a raise agricultural production and farmers incomes in the irrigated areas with special efforts to reach women who are mainly responsible for livestock management b improve the operating efficiency of the regional authority for agricultural developments ormvas agricultural services c promote commodity and service oriented farmer organizations to take on development responsibilities and d involve the university teachingresearch staff in field extension and research the project includes a the transfer of technology including the strengthening of adaptive research agricultural extension and womens programs with provision for staff training infrastructure vehicles and equipment the contracting out of some extension and research activities technical assistance and incremental operating costs b provision of supporting services to farmers including soils and plant analysis pest and disease warning system and testingdemonstration of small equipment c the promotion of farmers organizations with provision for technical assistance training and initial investments d monitoring and evaluation of agricultural development in the irrigated areas and e studies irrigated areas agriculture services irrigated areas agriculture services,0,None
construction and operation of a mw wind power plant near lake turkana kenya lake turkana wind power b lake turkana wind power b,1,Wind-energy
this project will support countries to develop nationally appropriate mitigation actions nama for the building sector the namas will be developed and apply common measurement reporting and verification methodologies for buildings nama will deliver significant greenhouse gas emission reductions while enabling access to international climate financing nationally appropriate mitigation action programme for the construction sector in asia nationally appropriate mitigation action programme for the construction sector in asia,1,Other-mitigation-projects
dfid has approved up to m over four years to conduct key research and generate new cutting edge knowledge evidence and solutions on bioenergy this research programme will generate new knowledge and evidence that will improve our understanding of wh bioenergy for sustainable local energy services and energy access in africa research bioenergy for sustainable local energy services and energy access in africa research,1,Biofuel-energy
from june in a joint effort with subject matter experts from chile colombia argentina and the united states department of agriculture iica developed a regional workshop for all veterinary services in central america to follow the oie strategic plan the objectives of the workshop were to sensitize national veterinary services about the importance of integrated risk management for a resilient agriculture and to identify the interventions required to ensure the efficacy of these management techniques in the face of new challenges veterinary services challenges in the face of climate change veterinary services challenges in the face of climate change,1,Adaptation
the objectives of the arid lands project are to strengthen and support community driven initiatives to reduce the widespread poverty and enhance food security in the arid districts of turkana marsabit mandera wajir garissa tana river isiolo samburu and the arid divisions of baringo district and conserve the natural resource base in the arid lands als through a improving crop and livestock resilience to drought b increasing economic linkages with the rest of the economy and c improving basic health services water supply and other social services the project will have the following components drought management which includes preparedness drought monitoring mitigation drought contingency planning and rapid reaction and recovery continued drought relief activities marketing and infrastructure which will address the bottlenecks that impede livestock market linkages between the als and the rest of the national economy and economy development which will be instrumental in assisting line ministries and collaborating agencies to adapt their organization and delivery systems to the specific conditions of the als arid lands resource management project arid lands resource management project,1,Adaptation
solar energy for outer islands solar energy for outer islands,1,Solar-energy
the social development agency project addresses two of the four main core objectives of the country assistance strategy ie to develop and strengthen participative and decentralized programs to reduce poverty and fight exclusion and to reduce vulnerability of the poor especially in rural areas the main components will support subprojects that enhance the social infrastructure of selected poor rural and urban slum areas to be based on demand and will cover areas from basic education and primary health care to literacy activities and rural drinking water this should include activities such as construction as well as training to help communities coordinate the infrastructure maintenance and operation support those subprojects enhancing the economic infrastructure in rural and urban slum areas eg irrigation small markets and rural roads subprojects financing training and nonfinancial support of activities directly creating employment opportunities or expanding micro or small business or that finance operations to new geographical areas will also be supported support the capacity of the social development agencys sda intermediaries to identify appraise and implement subprojects and capacity building to selected local nongovernmental organizations will be supported by assessing and implementing local development projects and finance studies on institutional and operational aspects of sda as well as on enhancing its management and understanding of specific technical areas ie microfinance support for the social development agency project support for the social development agency project,0,None
flood control the project aims to promote balanced and environmentally sustainable urbanization and to improve living conditions in tianshui a secondtier city in gansu province prc it will support the restructuring and expansion of the qinzhou district heating network construction of urban roads and bridges and related services such as better flood control and stronger urban management capacity gansu tianshui urban infrastructure development gansu tianshui urban infrastructure development,1,Adaptation
desk study concentrated solar power projects through green powered technology llc desk study concentrated solar power projects through green powered technology llc desk study concentrated solar power projects through green powered technology llc,1,Solar-energy
several measures into the health sector of viet nam improving family planning institutions reducing hiv infection rates strengthening decentral health systems and improving decentral hospitals health programme hospitals health programme hospitals,0,None
feasibility study geothermal for district heating and cooling through government of west bankgaza feasibility study geothermal for district heating and cooling through government of west bankgaza feasibility study geothermal for district heating and cooling through government of west bankgaza,1,Geothermal-energy
support community based marine turtle nesting beach conservation in viet nam marine turtle conservation fund marine turtle conservation fund,0,None
elaboration of the national action program for adaptation to climate change elaboration of the national action program for adaptation to climate change,1,Adaptation
the objectives of this power sector restructuring and transmission expansion project are to a expand the high voltage transmission system to meet an integrated system peak demand of approximately mw at the n level of reliability and b to assist the borrower in implementing the action program in the letter of sectoral development policy lsdp which provides for establishing an enabling environment for private sector involvement in the power section including the institutional restructuring of the sector the project comprises two elements a an investment component which will include double and single circuit kv transmission lines underground kv cables and new kv substations and b an institutional development component consisting of technical assistance for project implementation training and assistance to implement the institutional reform action program defined in the governments lsdp power sector restructuring transmission expansion project power sector restructuring transmission expansion project,0,None
to overcome obstacles to successful policy reform in selected areas related to private sector development groups individuals better equipped with knowledge skills needed to manage implement economic reforms groups individuals in the private sect capable of taking advantage of a better business environment priv sect devptovercome obstacles prismprsectregimplemsupp,0,None
in usaid committed to providing emergency dieselgenerated power to key southern cities that include kandahar kandahar province lashkar gah helmand province and qalat zabul province the world bank provided emergency diesel generators to eight provincial cities including musa qala helmand province and tirin kot uruzgon province providing diesel power to these areas was considered to be a shortterm solution to provide immediate sources of electricity while longerterm and more sustainable lowercost solutions were being developed afghanistan infrastructure and rehabilitation program irp diesel thermal power plant operations and maintenance modern energy services afghanistan infrastructure and rehabilitation program irp diesel thermal power plant operations and maintenance modern energy services,0,None
increase the availability and use of proven lifesaving interventions that address the major killers of mothers and children and improve their health and nutrition status including effective maternity care and management of obstetric complications prevention services including newborn care routine immunization polio eradication safe water and hygiene and micronutrients improved maternal infant and young child feeding and treatment of lifethreatening childhood illnesses enterprise united states unknown maternal and child health maternal and child health,0,None
international waters blue nature alliance to expand and improve conservation of billion hectares of ocean ecosystems blue nature alliance to expand and improve conservation of billion hectares of ocean ecosystems,1,Nature_conservation
kv program sustainable forest management and biodiversity forestry policy amp admin management kv program for sustainable forest management and biodiversity,1,Sustainable-land-use
the second greater aden water supply project constitutes the second construction stage of a longterm water supply master plan and seeks to increase the critically short supply of potable water to meet peak demands in the metropolitan area of aden through the year it provides for i construction of a wellfield ii further renovation and expansion of the water distribution network iii management assistance and staff training of the public water corporation pwc for carrying out hydrogeological studies and iv a leak detection and repair program increased availability of potable water in metropolitan aden would help improve the sanitary and health conditions of the citys population the network expansion would be mainly in lowincome districts where under the project about residents who now obtain their supply from standposts and water vendors would be served by individual house connections as part of the project further strengthening of the sector organization and the pwc will take place greater aden water supply project greater aden water supply project,0,None
this ta supports the strategy by i helping dmcs gain regular access to information from measurable economic indicators ii providing regular updates and analyses of macroeconomic trends iii sharing insights on the experiences of neighboring economies in addressing development challenges through flagship publications and iv providing economic research support to dmcs for a deeper understanding of immediate economic issues and concerns moreover at the end of the ta lessons on how adb reportspublications helped dmc governments compose policy response to emerging needs and challenges can be drawn and be used as reference for ongoing and succeeding tas this ta will comprise three major outputs with corresponding activities as followsa macroeconomic surveillance work and analysis in order to enhance the macroeconomic surveillance of south asian countries an economic update eu report will be published biannually for bhutan maldives and nepal given data for some of the south asian countries are scant patchy and not available on commercial databases this ta aims to keep policy makers and adb staff well informed of the economic developments within the region by providing consolidated report on the most recent key macroeconomic data and economic updates of these specific economies the ta will provide a venue for analysis of higherfrequency data eg inflation foreign exchange reserves balance of payments etc that are essential in policy making through the eu the ta also seeks to act as an economic guide post especially during turbulent times to assist policy makers and other stakeholders in formulating mitigating policy measures when necessary the eu will be produced through a concerted effort among sard focal points and the ta team with the latter as the coordinating body the eu will be disseminated widely among policy makers adb staff and other key stakeholders in the region also this component has a capacity building element which intends to strengthen the capabilities of the above selected south asian dmc governments on macroeconomic surveillance through workshops and seminarsb review of major development challenges this component will see publication of at least two flagship knowledge products on themes of significance for the region potential themes include among others urbanization jobs and skills inflation energy etc the selection of which themes rigorously analyzed will be done by the project steering committee in consultations with dmc governments experts will be mobilized to undertake analytical work on the selected topics and an inception as well as consultation workshop will be organized to facilitate discussion on each topic a dissemination workshop will also be undertaken for each flagship publication where key stakeholders including representatives of government ministries and agencies development partners the private sector civil society and academic and research institu enhancing economic analysis and southsouth learning enhancing economic analysis and southsouth learning,0,None
this project seeks to increase economic opportunities for qualified women and men in mozambique by improving their access to the job market the project aims to strengthen two training institutions in the coalrich tete province and two in the gasrich cabo delgado province to help them provide uptodate and practical training in areas such as geology mining surveying mineral processing and mechanical and electrical maintenanceproject activities include implementing modern handson training curricula providing industrystandard training equipment training instructors and school administrators to improve their leadership and management skills and strengthening linkages with the private sector to facilitate the hiring of graduates the project also seeks to set up four pilot service centres to help students find employment the two institutions in tete province form a training centre of excellence for mining and the two in cabo delgado form a training centre of excellence for oil and gasthe implementing partner colleges and institutes canada has experience in mozambique and will draw upon its network of member colleges and cegeps general and vocational colleges across canada to implement this project ce projet vise à améliorer les opportunités économiques de plus de mozambicains et mozambicaines qualifiés en leur permettant un meilleur accès au marché du travail le projet a pour but de renforcer deux établissements de formation dans la province de tete riche en charbon et la province de cabo delgado riche en gaz afin quils puissent assurer une formation moderne et pratique dans des secteurs comme la géologie la topographie minière la transformation des minéraux et lentretien mécanique et électriqueparmi les activités du projet mettre en uvre des programmes de formation modernes et pratiques fournir des équipements de formation répondant aux normes de lindustrie former des instructeurs et des administrateurs décole afin daméliorer leur compétence en matière de leadership et de gestion renforcer les liens avec le secteur privé afin de faciliter le recrutement des diplômés le projet met également sur pied quatre centres de services pilotes visant à aider les étudiants à trouver des emplois les deux établissements de formation de la province de tete formeront un centre dexcellence pour lexploitation minière et les deux établissements de formation de cabo delgado forment un centre dexcellence pour le pétrole et le gazle partenaire de mise en uvre collèges et instituts canada compte plus de membres constitués de collèges et de cegeps collèges denseignement général et professionnel à travers le canada skills training for employment in mozambiqueformation axée sur les compétences pour lemploi skills training for employment in mozambiqueformation axée sur les compétences pour lemploi,0,None
the collaborative adaptation research initiative in africa and asia cariaa generates and shares new knowledge on vulnerability and adaptation within and across three climate change hotspots semiarid regions deltas and glacier and snowpackdependent cariaa website development cariaa website development,1,Adaptation
electrical interconnection rsa windhoek partial financing increase interconnection capacity electrical interconnection kv afdu su electrical interconnection kv afdu su,0,None
diesel generator sets fort victoria diesel generator sets fort victoria diesel generator sets fort victoria,0,None
the main objectives of the transmission grid reinforcement project are to evacuate power from major generation plants at sual and masinloc both expected to be operational in reinforce overloaded substations and extend the extra high voltage ehv grid in northwest luzon and western visayas and strengthen the transmission system and load dispatch operations to support creation of an autonomous transmission subsidiary transco which may later be privatized the project has four main components improvement of the trasmission in northwest luzon installation of a new national load dispatch center nldc including communications metering and protection equipment in luzon and the visayas reinforcement of the systems in negros panay and cebu and provision of experts services and equipment transmission grid reinforcement loan project transmission grid reinforcement loan project,0,None
the project will decrease load shedding through a combination of system expansion efficiency improvement load management and price adjustments this will be accomplished through the addition of megawatts mw of capacity by converting the existing gas turbines at qom to a combined cycle plant the construction of kv kilovolt substations and transmission line distribution equipment technical assistance and training activities and price reform measures supported by the project power sector efficiency improvement project power sector efficiency improvement project,1,Energy-efficiency
this project aims at facilitating the implementation of ecfunded programmes and projects provisions are made for technical assistance general training and support for the consultation process on political reforms in tonga energy policy and admin management tonga technical cooperation facility,0,None
sustainable management of southern ecosystems rech resources environments and their biodiversity rech resources environments and their biodiversity,1,Biodiversity
improve policies laws regulations and administrative practices affecting the private sector includes reducing barriers to competition and unwarranted distortions to market prices reducing policy and regulatory barriers to establishing operating and closing businesses strengthening the legal framework surrounding property rights that is fair to both men and women contract enforcement and dispute resolution along with the administration of those laws reducing incentives for corruption abt associates business enabling environment business enabling environment,0,None
geothermal resource development in saint lucia geothermal resource development in saint lucia geothermal resource development in saint lucia,1,Geothermal-energy
the objective of the project is to provide shelter employment and urban services for the lowest income groups at costs they can afford thus eliminating the need for direct public subsidies and permitting the project to be replicated on a larger scale the project is expected to improve living conditions and increase employment opportunities for an immediate design population of about low income persons in cairo alexandria and assiut and will be primarily executed by these three governorates assisted by a central government unit the project would include six closely related components i comprehensive upgrading of four settlements ii sites and services on two sites iii a small business assistance and manpower training program iv improvement in solid waste collection and disposal v urgent repairs to water supply and sewerage systems and vi technical assistance in project implementation and institution building urban development project urban development project,0,None
rehabilitation of the district heating systems rehabilitation of the district heating systems in novi sad nis and belgrade,0,None
promotion of strategic environmental policy dialogues with major newly industrialising countries brazil china india etc preparation and realisation of bilateral environmental policy forums in the context of regional initiatives undertaken by german industry the dialogue forums will normally be linked to a business exchange or in some cases to an environmental trade fair strategic environmental dialogue forums with partner countries on gearing their economies towards resource and energy efficiency strategic environmental dialogue forums with partner countries on gearing their economies towards resource and energy efficiency,1,Other-environment-protection-projects
construction of a solar energy power plant with an output of kw to supply houses with electricity construction of a solar energy power plant with an output of kw to supply houses with electricity,1,Solar-energy
collaborative project lucci interaction of land use and climate change in the vu gia thu bon river basin central vietnam subproject climate modelling scenario development and management strategies incl knowledge transfer research to preserve and improve living conditions and sustainable land use in developing countries ia due to climate change land use in river catchment areas land use in river catchment areas,1,Adaptation
feasibility study geothermal energy development through mi llc feasibility study geothermal energy development feasibility study geothermal energy development,1,Geothermal-energy
the ho chi minh city environmental sanitation project will lead to sustainable improvements in public health and the wellbeing of the citys population through improved reductions in wastewater pollution and in flood occurrences as a result of institutional efficiency in the management of drainage and wastewater services the two components are construction of the nghie loc thi nghe wastewater interceptor to divert dry weather wastewater flows to the screeningpumping facility in addition combined sewer overflow structures will divert wastewater flows into the interceptor during dry weather however to mitigate the accumulated odorous waters from the canal during rising tides a canal flushing mechanism will be installed drawing canal waters to the sewage interceptor through withdrawal chambers located in the canal embankment operated through automatic modes controlled from the pumping station this pumping station will have hydraulic capacities and is located at the confluence of the canal and the saigon river with a river outfall discharge drainage works to replace and extend combined sewers to reduce overflows of stormwater and wastewater includes dredging works for sludge transportation and disposal cleaning inspection of secondary sewers and construction of tertiary sewers equipment will be procured to support institutional strengthening and maintenance functions ho chi minh city environmental sanitation nhieu locthi nghe basin project ho chi minh city environmental sanitation nhieu locthi nghe basin project,0,None
lot office equipment for use in republic of kazakhstan energy policy and admin management supply of equipment for enhancement of environmental protection measures in the oilgas industryon measures in the oilgas lot,1,Other-environment-protection-projects
the usaid sustainable forests and coasts project seeks to strengthen the conservation biodiversity in critical habitats along the ecuadorian coast and benefit communities that live in andor around these areas sustainable forests and coasts natural resources and biodiversity sustainable forests and coasts natural resources and biodiversity,1,Biodiversity
this program aims to reinforce the capacity of foundation legers over local partner organizations with a view to promote the social political and economic inclusion of marginalized groups and communities in countries across africa asia and the americas the program focuses on five strategic areas building partner management capacity and improved planning for development promoting human rights and supporting the participation of civil society in political processes supporting economic development through sustainable agricultural practices supporting basic health care and supporting basic education examples of activities for each of the strategic areas include supporting savings and credit organizations that provide women farmers with opportunities in mali and providing management training to honduran consumer cooperatives providing leaderhip training to indigenous women in bolivia and to impoverished youth in sri lanka enabling productivity and quality improvements for small milk producers in the andes and enhancing commercial networks for niche products produced by rural families in peru training health promoters in natural medicine in honduras and organizing campaigns to raise hivaids awareness in cambodia and to prevent and treat leprosy in india and enrolling underprivileged youth and children in education programs in bangladesh vietnam and the philippines ce programme a pour but de renforcer la capacité du réseau de plus de partenaires locaux de la fondation léger et vise particulièrement à promouvoir linclusion sociale politique ou économique des groupes sociaux et des collectivités actuellement marginalisés dans pays répartis en afrique en asie et dans les amériques les programmes reposent sur cinq axes stratégiques le renforcement des capacités des partenaires et des groupes de base à la planification et à la gestion le soutien à la participation populaire et au respect des droits de la personne le soutien au développement économique solidaire par lamélioration de la production agricole et alimentaire respectueuse de lenvironnement lappui à des actions de santé primaire lappui à des programmes déducation de base les exemples dinitiatives pour chaque secteur stratégique comprennent le soutien à des organisations dépargne et de crédit qui offrent des possibilités à des agricultrices au mali la prestation dune formation en gestion aux coopératives de consommation au honduras la prestation dune formation en matière de leadership à des femmes autochtones en bolivie et à des jeunes qui vivent dans la misère au sri lanka lapport de mesures damélioration de la productivité et de la qualité à des petits producteurs laitiers des andes et le renforcement de réseaux commerciaux destinés à des produitscréneaux créés par des familles vivant en milieu rural au pérou la formation de responsables de la promotion de la sa loeuvre léger program loeuvre léger programme loeuvre léger program loeuvre léger programme,0,None
